timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733919157557,1404,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-4,,false,,14450,660,2,2,null,568,1,0
1733919158712,705,Select Flight,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,294,0,0
1733919158712,294,Select Flight-0,302,Found,Thread Group 1-5,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,294,0,0
1733919159006,411,Select Flight-1,200,OK,Thread Group 1-5,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,396,0,0
1733919157915,1500,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-5,,false,,14450,660,1,1,null,595,3,14
1733919159418,683,Search Flights,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Flights from Paris to London/,7504,310,1,1,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,288,0,0
1733919159418,288,Search Flights-0,302,Found,Thread Group 1-5,text,true,,259,155,1,1,http://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,288,0,0
1733919159707,394,Search Flights-1,200,OK,Thread Group 1-5,text,true,,7245,155,1,1,https://blazedemo.com/reserve.php?fromPort=Paris&toPort=London,388,0,0
1733919160101,689,Select Flight,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /Thank you for your purchase!/,6946,350,1,1,https://blazedemo.com/purchase.php,290,0,0
1733919160101,290,Select Flight-0,302,Found,Thread Group 1-5,text,true,,231,223,1,1,http://blazedemo.com/purchase.php,290,0,0
1733919160391,399,Select Flight-1,200,OK,Thread Group 1-5,text,true,,6715,127,1,1,https://blazedemo.com/purchase.php,376,0,0
1733919159418,1372,Search_Flight_Transaction,,"Number of samples in transaction : 3, number of failing samples : 2",Thread Group 1-5,,false,,14450,660,1,1,null,578,0,0
